,0
JD,2459989
Date,2-13-2023
LST Range,4.098 -- 14.060 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1851
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,59 / 198 (29.8%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,118 / 198 (59.6%)
Redcal Done?,N
Never Flagged Antennas,80 / 198 (40.4%)
A Priori Good Antennas Flagged,"46 / 93 total a priori good antennas: 3, 7, 15, 16, 19, 29, 38, 40, 42, 45, 53, 54, 55, 71, 72, 81, 86, 93, 94, 101, 103, 109, 111, 112, 121, 122, 123, 124, 136, 144, 147, 151, 158, 161, 162, 165, 170, 173, 182, 185, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"33 / 105 total a priori bad antennas: 4, 8, 22, 43, 46, 48, 49, 61, 62, 73, 74, 89, 90, 115, 120, 132, 133, 137, 139, 166, 179, 220, 223, 228, 229, 237, 238, 241, 244, 245, 324, 325, 329"
