,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,1.0,1.0,1.0,0.0,9.873176657538634,13.5008447627759,9.828620901352506,10.662674991592128,6.319745787232858,7.9404190630188545,0.7272014619547412,1.651844905227985,0.029893932076779005,0.03256897452972671,0.003229668446826902
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,0.0,0.0,0.0,0.0,0.8685387556301554,-0.21466925691148092,2.3895333672511847,-0.07047096251783494,1.7375247569494583,-0.29035624482648237,0.3025152367130152,-1.4543896910258787,0.5850650016253927,0.6139771909296716,0.3951838240723288
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,0.0,0.0,0.0,0.0,0.16247030089433673,-0.4374355954620597,0.1987386378876324,0.27231949792282223,0.3440239889119387,1.5822640233081102,0.1265625879197289,0.0024274375077142922,0.6073927600727878,0.6117615982516041,0.37983180956478135
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,0.0,0.0,0.0,-0.9142540244375457,-0.08425389429289651,-1.2289176265524608,-0.1309541167673765,0.456949881903727,0.4038290927241425,12.062229379849395,12.394039300797735,0.6151686965619321,0.6274334021577046,0.3750307834448885
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,0.0,0.0,0.0,0.0,0.19229654882438446,-1.4403037702395018,-0.5227070633432358,0.20828748660700838,-0.06766426023877538,0.6703216502408528,1.1274722044473295,1.8441709303556828,0.6148471555290962,0.6255260058634562,0.37271923038113564
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,0.0,0.0,0.0,0.0,1.013385940315506,-0.6265553713383124,3.0122205021194928,-0.9502349653835626,-0.4729526166684886,0.010094986586161616,1.327891869575225,-0.7901303935452859,0.5889771879187998,0.6281395272684508,0.38636406530119843
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,0.0,0.0,0.0,0.0,1.8163245544249336,-0.32800441845097056,1.120327662910416,-1.220813872564337,0.5957460957867676,0.7580292078139373,-1.5689423189013996,-0.3934121422838281,0.6040305404414922,0.6222766020842081,0.3734398923900747
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,1.0,1.0,1.0,0.0,10.113280428362684,13.242326860481352,9.260927313591793,10.07332662161475,6.337237418269493,7.9544814860572695,0.5382196112348806,1.1554359144417874,0.027229528945040972,0.026377783756496676,0.0014877508206278711
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,1.0,1.0,0.0,0.0,10.128065719701432,-0.728776517530972,9.797076640086233,0.7945212394241951,6.327233791825325,1.7718934519529566,0.7557952230920019,1.629785749895858,0.03297649022737365,0.622424954464316,0.5014108778010226
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,0.0,0.0,0.0,0.0,1.3395565566864458,1.6071487893503924,0.46533172942548706,0.5621573650195153,0.6309193088715264,0.9677869073962956,-0.0403495048475932,0.7022323056901878,0.6163522305847435,0.6308134715800688,0.38070151962272875
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_18_report.html"" target=""_blank"">18</a>",N01,RF_maintenance,1.0,1.0,0.49486763911399245,0.0,10.778859172991222,17.58671555772694,9.785500901775857,-0.11118180754074501,6.421601813319536,4.607104214936313,0.6151400225181154,20.6317177685045,0.029498926475965092,0.22752296801454464,0.17280838353310388
11,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_19_report.html"" target=""_blank"">19</a>",N02,digital_ok,1.0,0.0,0.0,0.0,-0.16421480192809695,1.4267133547483166,-1.0282653731417206,-1.351762630134689,-0.26367257252178966,42.76445729445198,-0.6055963001336945,2.971281156906391,0.6245430025760126,0.629598354050213,0.37300403298827545
12,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_20_report.html"" target=""_blank"">20</a>",N02,digital_ok,1.0,0.0,0.0,0.0,0.39711040650175805,-1.5322717549921816,1.0589514568350662,-0.7622394713517243,7.7847536865390285,-0.35101268988890655,0.8449141657368919,-0.7544301782641233,0.6172432876082756,0.6349887365532536,0.3729346525492892
13,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_21_report.html"" target=""_blank"">21</a>",N02,digital_ok,0.0,0.0,0.0,0.0,0.2661406807919549,0.2556202311814608,-0.6192176944129324,0.1758733867695463,0.38714592509406276,1.4124821736757205,0.13715097840858023,0.1809794848422396,0.6123785505479566,0.617773752483496,0.3676022218494917
14,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_22_report.html"" target=""_blank"">22</a>",N06,not_connected,0.0,0.0,0.0,0.0,-0.5717816397544287,-0.41080448085424764,0.3507099154029686,-0.1071531989421571,0.49513699455466226,0.8568740342859331,-0.22700986968354997,-0.6793520816795481,0.5844500408298436,0.5989582817766047,0.36796314577936257
15,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_27_report.html"" target=""_blank"">27</a>",N01,RF_maintenance,1.0,1.0,1.0,0.0,9.488318556997173,12.566610399369385,9.838096830098175,10.468336371675548,6.405015491619988,7.9949661259758775,2.392496699963699,2.188294387073724,0.03465018349730435,0.0381486441589712,0.004414058668703089
16,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_28_report.html"" target=""_blank"">28</a>",N01,RF_maintenance,1.0,0.0,0.8584548892490546,0.0,9.750688898449694,25.06650176140043,-0.0805467416157293,3.1351875109493372,5.13202972497544,5.545450751983543,3.3324263474517135,22.858605917297336,0.36792981460712326,0.1580511029469452,0.26851194327409905
17,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_29_report.html"" target=""_blank"">29</a>",N01,digital_ok,1.0,1.0,1.0,0.0,10.165210483217688,13.023057197694696,9.452410223376688,10.088421070008057,6.397936221880908,7.985347169472852,0.5803324930195529,0.5095015924176596,0.029653111888809605,0.03679472676448897,0.007166461421202455
18,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_30_report.html"" target=""_blank"">30</a>",N01,digital_ok,1.0,0.0,0.0,0.0,0.5137906104481391,0.11351366417785515,0.6792938796324678,-1.330173098725485,4.039882534570189,0.47949041467403003,1.8539864661381882,0.11125956448814908,0.618876929442834,0.6481220833919961,0.38058563441462545
