,0
JD,2459978
Date,2-2-2023
LST Range,3.384 -- 13.341 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1850
Total Number of Antennas,196
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 9 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 196 (0.0%)
Antennas in Commanded State (observed),0 / 196 (0.0%)
Cross-Polarized Antennas,96
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,52 / 196 (26.5%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,117 / 196 (59.7%)
Redcal Done?,N
Never Flagged Antennas,79 / 196 (40.3%)
A Priori Good Antennas Flagged,"46 / 93 total a priori good antennas: 3, 7, 9, 10, 15, 16, 29, 38, 40, 42, 54, 55, 56, 71, 72, 81, 86, 94, 101, 103, 107, 109, 111, 121, 122, 123, 128, 136, 140, 143, 144, 147, 151, 158, 161, 165, 167, 170, 173, 182, 185, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"32 / 103 total a priori bad antennas: 22, 35, 43, 46, 48, 61, 62, 64, 73, 82, 89, 90, 95, 115, 120, 126, 132, 133, 137, 139, 211, 220, 222, 223, 229, 237, 238, 241, 245, 324, 325, 333"
