,0
JD,2459996
Date,2-20-2023
LST Range,4.565 -- 14.522 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1850
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,75 / 198 (37.9%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,135 / 198 (68.2%)
Redcal Done?,N
Never Flagged Antennas,63 / 198 (31.8%)
A Priori Good Antennas Flagged,"61 / 93 total a priori good antennas: 3, 7, 9, 15, 16, 17, 19, 20, 29, 30, 37, 38, 40, 41, 42, 45, 53, 54, 55, 56, 65, 71, 72, 81, 83, 86, 91, 93, 94, 101, 105, 106, 107, 109, 111, 112, 121, 122, 123, 124, 127, 136, 144, 145, 151, 158, 161, 165, 168, 169, 170, 173, 182, 184, 186, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"31 / 105 total a priori bad antennas: 22, 35, 43, 46, 48, 49, 50, 62, 64, 73, 74, 89, 115, 132, 133, 137, 139, 179, 220, 221, 222, 228, 229, 237, 238, 239, 240, 241, 245, 261, 333"
