,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,1.0,1.0,1.0,0.0,9.866231761049773,12.995502591324477,10.569945653275697,11.193192445889705,10.344183900796718,12.322538757029735,0.25446036665390087,0.7065323783202317,0.03072164166453079,0.03365112475003634,0.003609225584235989
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,1.0,0.0,0.0,0.0,0.5369606457149982,1.7034703565235925,1.7924808806058548,0.4054400516290722,3.3422562238683025,-0.3589583100524809,10.968176212913301,3.169718579868603,0.5939078196988464,0.6169101082111339,0.3980003839966784
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,0.0,0.0,0.0,0.0,-0.7932525542241363,-0.22639223937462052,0.3594582842561348,0.13854548462497068,0.2514103795430666,1.9964436144916453,0.5094651125692189,0.3889852690098309,0.6075684012213288,0.6174581410491855,0.3872526447372101
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,0.0,0.0,0.0,-0.9892066967052647,0.060446298049932984,-1.1664812475949062,-0.1752340654741716,0.008497598327676114,0.40079714736785316,11.28842373677011,10.333236492602003,0.6127091412037733,0.627367059594391,0.380686534533635
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,0.0,0.0,0.0,0.0,-0.07656040243153604,-1.334926293595737,-0.5632822441855221,-0.04938857161174948,-0.26851046179869487,0.4118722662414664,3.1654102259422072,0.5809307972481682,0.6123573956657108,0.6237295668585023,0.3773526219096131
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,1.0,0.0,0.0,0.0,0.28579549239987306,-0.6465175357072893,3.1813420197764164,-1.3619289035300002,5.975340304545044,0.5814497491293426,1.725880001229273,-0.41810522967948915,0.5889630159825562,0.6232414551909851,0.39082501102986184
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,1.0,0.0,0.0,0.0,2.7858383779380684,-0.7432852404369569,6.766003134202079,-1.548868771987273,9.588210106705432,0.7325390018108767,1.943910726938458,0.8260348245141339,0.5236584257580709,0.6222122145839912,0.41567765289568653
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,1.0,1.0,1.0,0.0,10.244435750713594,13.227792640073895,10.499749004889411,11.114771762708251,10.388894848761753,12.344893658511033,-0.10785797388890206,0.17995768345549612,0.026430740834295377,0.025686707773696405,0.001362410913507797
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,1.0,1.0,0.0,0.0,10.07138726139958,-0.7790543951638496,10.533128765712862,0.7486196286671247,10.340190976779962,1.8378017823672563,0.22607778251412966,2.416911876519858,0.033574985517185255,0.6232667006841003,0.5033606571916961
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,0.0,0.0,0.0,0.0,0.6802931807700451,1.3915716238855969,0.48613397743275666,0.34422544686683376,0.5824311092028905,0.7247830350920924,2.3117250442768587,1.66311791762122,0.6172022536251698,0.6314409736652669,0.38573744252495185
