,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,1.0,1.0,1.0,0.0,10.511608947507396,14.457762090434597,11.170375866150147,12.030476735493021,5.8587513250710685,7.187026078990657,1.5816983790210426,2.2566763189936423,0.02880911425133565,0.030893410527126096,0.0027511526545672886
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,1.0,0.0,0.0,0.0,1.1559956609994058,0.48237595388629556,5.423504091281516,-1.3211008814886758,-0.7243882051518596,0.1624832262812565,1.7791211160019422,0.09586357416261271,0.5367836560788767,0.5858020890376859,0.3796356757921973
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,0.0,0.0,0.0,0.0,1.7435723405840968,1.4711302292052562,0.6556946931783352,0.44336330207649616,0.49756792444623477,1.5165034662761,0.6785952106032018,0.5437725668773628,0.5802596343084775,0.5818098138483458,0.3625879272900532
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,1.0,1.0,1.0,0.0,236.91365895131568,236.8866013831403,inf,inf,2557.26667437856,2613.7074317975826,7000.303203524173,7409.513405443398,,,
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,1.0,1.0,1.0,0.0,10.764806685261924,14.176340089146596,10.561993850623688,11.400954447974588,5.863838102102011,7.190720912959357,0.852384601004644,1.2210605701249317,0.027637554527480207,0.026257403345232702,0.0017472061035403597
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,1.0,1.0,0.0,0.0,10.778179768739037,-0.6933376726097749,11.136699351080887,1.1168910806997487,5.859861533281288,2.0321854806709565,1.4847048833463716,2.927535707955618,0.03232704166154375,0.5940713934549997,0.4594106978030973
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,1.0,0.0,1.0,0.0,1.1982907246126417,13.585021325359088,0.9243385686529787,12.028409295609436,0.721548622764283,7.216365687114559,1.3268523627373339,1.7056120058212894,0.5891404665652976,0.042933553322283435,0.5067715119217759
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_18_report.html"" target=""_blank"">18</a>",N01,RF_maintenance,1.0,1.0,0.5210583153347732,0.0,11.430409026477548,16.811267795991917,11.119392476659952,0.23130018270423836,5.943672725049197,3.244688596335414,1.4776596310527574,15.052428901785067,0.029773930692065596,0.21762781931001837,0.1632318073937501
11,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_19_report.html"" target=""_blank"">19</a>",N02,digital_ok,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
12,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_20_report.html"" target=""_blank"">20</a>",N02,digital_ok,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
13,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_21_report.html"" target=""_blank"">21</a>",N02,digital_ok,1.0,1.0,1.0,0.0,,,inf,inf,,,,,,,
14,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_22_report.html"" target=""_blank"">22</a>",N06,not_connected,0.0,0.0,0.0,0.0,-0.7088218129824558,-0.3450837155241075,0.033925601825153036,-0.2992803056930139,0.544883996451331,0.6690801152705239,-0.2501311078641312,-1.217716039476666,0.5644516480188911,0.5770979842084636,0.34515264297909576
