,0
JD,2459984
Date,2-8-2023
LST Range,3.782 -- 13.733 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1849
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,54 / 198 (27.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,116 / 198 (58.6%)
Redcal Done?,N
Never Flagged Antennas,82 / 198 (41.4%)
A Priori Good Antennas Flagged,"47 / 93 total a priori good antennas: 3, 5, 7, 10, 15, 16, 21, 29, 38, 40, 42, 44, 53, 54, 55, 66, 71, 72, 81, 86, 94, 101, 103, 105, 109, 111, 121, 122, 123, 127, 136, 140, 144, 151, 158, 161, 165, 170, 173, 182, 185, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"36 / 105 total a priori bad antennas: 4, 22, 35, 43, 46, 49, 61, 62, 64, 73, 74, 89, 114, 115, 120, 125, 132, 133, 137, 139, 179, 220, 222, 226, 228, 229, 237, 238, 239, 240, 241, 244, 245, 261, 324, 333"
