,0
JD,2459997
Date,2-21-2023
LST Range,4.630 -- 14.587 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1850
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,66
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,66 / 198 (33.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,133 / 198 (67.2%)
Redcal Done?,N
Never Flagged Antennas,64 / 198 (32.3%)
A Priori Good Antennas Flagged,"62 / 93 total a priori good antennas: 3, 7, 9, 15, 16, 17, 29, 30, 31, 37, 38, 40, 42, 44, 45, 53, 54, 55, 65, 66, 67, 71, 72, 81, 86, 93, 94, 101, 103, 107, 109, 111, 112, 121, 122, 123, 124, 127, 128, 136, 140, 145, 147, 151, 158, 161, 162, 163, 164, 165, 170, 173, 181, 182, 183, 184, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"33 / 105 total a priori bad antennas: 4, 22, 35, 43, 46, 48, 49, 50, 61, 62, 73, 82, 89, 90, 115, 120, 125, 126, 132, 133, 135, 137, 228, 237, 238, 239, 241, 245, 320, 324, 325, 329, 333"
