,0
JD,2459993
Date,2-17-2023
LST Range,4.367 -- 10.448 hours
X-Engine Status,Y Y N Y Y Y Y Y 
Number of Files,1111
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,19
Nodes Registering 0s,N08
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,85 / 198 (42.9%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,130 / 198 (65.7%)
Redcal Done?,N
Never Flagged Antennas,64 / 198 (32.3%)
A Priori Good Antennas Flagged,"55 / 93 total a priori good antennas: 3, 7, 10, 15, 16, 17, 19, 29, 40, 41, 42, 45, 53, 54, 55, 56, 71, 72, 81, 83, 85, 86, 93, 94, 101, 103, 107, 109, 111, 112, 118, 121, 122, 123, 124, 127, 136, 140, 144, 151, 158, 161, 165, 170, 173, 182, 183, 184, 186, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"26 / 105 total a priori bad antennas: 8, 22, 35, 43, 46, 48, 49, 61, 62, 64, 73, 74, 89, 90, 115, 125, 126, 133, 220, 222, 228, 229, 241, 245, 261, 325"
