,0
JD,2459991
Date,2-15-2023
LST Range,4.238 -- 14.193 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1832
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,64 / 198 (32.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,123 / 198 (62.1%)
Redcal Done?,N
Never Flagged Antennas,75 / 198 (37.9%)
A Priori Good Antennas Flagged,"50 / 93 total a priori good antennas: 3, 7, 15, 16, 19, 20, 29, 40, 42, 45, 53, 54, 55, 71, 72, 81, 85, 86, 93, 94, 101, 103, 107, 109, 111, 112, 121, 122, 123, 124, 127, 128, 136, 144, 151, 158, 161, 162, 165, 170, 173, 182, 184, 186, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"32 / 105 total a priori bad antennas: 8, 22, 35, 43, 46, 48, 49, 62, 64, 73, 74, 82, 89, 90, 115, 125, 126, 132, 133, 137, 139, 220, 222, 228, 229, 237, 238, 239, 245, 261, 324, 325"
