,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,1.0,1.0,1.0,0.0,9.796582008532827,13.373339461595178,10.124122084239936,10.937332150090555,7.639939141564199,9.568961945859348,2.4984691921711057,3.252955349000168,0.028842666478457162,0.03146312073455166,0.0031334903413973523
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,0.0,0.0,0.0,0.0,0.9637666642582575,-0.39264684835411456,2.763130492891477,-1.0250183756578428,-0.3434541153992469,-0.7086941749545815,1.9078386706657318,-0.4816066874482242,0.5774306778183969,0.6135466648956006,0.40605607545208644
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,0.0,0.0,0.0,0.0,-0.2850144506993919,-0.7852592042277089,0.46166870461316983,0.39181846635630996,0.45112927118740764,1.4906780142634328,0.6060958798722593,0.29840347213147145,0.5993968424113164,0.610175192029425,0.38932800559815467
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,0.0,0.0,0.0,-1.0841719294007388,0.14573172749159102,-1.0409139698046401,0.07411717714802517,-0.05434561574477251,0.4315975085775145,24.427223562164638,30.47479974666191,0.6108304346432579,0.6256493604639397,0.38558989901890844
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,1.0,0.0,0.0,0.0,4.376508162443526,3.7429672068955986,3.3466553128071457,3.084001050995672,3.840275586354317,5.025790146876517,-3.0004532994802657,-2.5229901646259867,0.596844856786719,0.6106875276548774,0.37524886343651737
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,1.0,0.0,0.0,0.0,1.2217582643597364,-0.6594459293559132,3.2520367647627717,-0.7622709040135884,-0.2951545472303188,-0.09582679774288626,5.396427388785998,-0.7639718009705191,0.5857481175185274,0.6263984102208475,0.39203773201735675
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,0.0,0.0,0.0,0.0,0.8381261663311763,-0.6525126137212587,-0.12355146947583512,-1.0104171888548732,-0.4240120699918767,0.270440750812551,1.5141053278562262,-0.17660153025149503,0.5977004386805257,0.6248280816864611,0.38601933072713845
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,1.0,1.0,1.0,0.0,10.023182116868156,13.112496743011063,9.56387369951718,10.359196659332637,7.624461306967882,9.571619238849186,0.7945239826908426,1.055914653582273,0.02720921091222295,0.026509590002247955,0.001406286002229882
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,1.0,1.0,0.0,0.0,10.072730819626301,-0.7457055402944389,10.093652333114271,0.9015597489860133,7.625719202627051,1.8088563811231202,1.6743054486569653,3.7771522570864193,0.03310162667855927,0.6194847762029592,0.5022532853052492
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,1.0,0.0,1.0,0.0,1.1148840126562387,12.653512038060828,0.6692286183910258,10.941370088873377,0.9963268910626607,9.620041212800414,2.2154187571985333,2.1039268696585474,0.6075817183187765,0.04389919741959094,0.5418223183474944
