,0
JD,2459980
Date,2-4-2023
LST Range,3.508 -- 13.470 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1851
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 9 dish_ok: 1 RF_maintenance: 51 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,58 / 198 (29.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,106 / 198 (53.5%)
Redcal Done?,N
Never Flagged Antennas,92 / 198 (46.5%)
A Priori Good Antennas Flagged,"45 / 93 total a priori good antennas: 3, 7, 9, 10, 15, 16, 29, 40, 42, 45, 54, 55, 56, 71, 72, 81, 86, 94, 101, 103, 109, 111, 121, 122, 123, 128, 136, 144, 147, 148, 149, 151, 158, 161, 165, 170, 173, 182, 184, 185, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"44 / 105 total a priori bad antennas: 8, 22, 35, 43, 46, 48, 49, 61, 62, 64, 73, 74, 82, 89, 90, 95, 102, 114, 115, 120, 126, 132, 133, 135, 137, 139, 207, 211, 220, 221, 222, 223, 229, 237, 238, 239, 240, 241, 244, 245, 261, 324, 325, 333"
