,0
JD,2459995
Date,2-19-2023
LST Range,4.501 -- 14.458 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1850
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,75 / 198 (37.9%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,129 / 198 (65.2%)
Redcal Done?,N
Never Flagged Antennas,69 / 198 (34.8%)
A Priori Good Antennas Flagged,"59 / 93 total a priori good antennas: 3, 7, 10, 15, 16, 17, 19, 20, 29, 30, 31, 38, 40, 42, 45, 53, 54, 55, 56, 71, 72, 81, 85, 86, 93, 94, 101, 103, 107, 109, 111, 112, 121, 122, 123, 124, 127, 128, 136, 140, 144, 145, 151, 158, 161, 162, 164, 165, 166, 170, 173, 182, 184, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"35 / 105 total a priori bad antennas: 4, 8, 22, 35, 43, 46, 48, 49, 61, 62, 64, 73, 74, 82, 89, 90, 115, 125, 126, 133, 137, 139, 220, 222, 228, 229, 237, 238, 239, 241, 245, 261, 324, 325, 333"
