,0
JD,2459990
Date,2-14-2023
LST Range,4.163 -- 14.130 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1852
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,110
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,61 / 198 (30.8%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,127 / 198 (64.1%)
Redcal Done?,N
Never Flagged Antennas,71 / 198 (35.9%)
A Priori Good Antennas Flagged,"53 / 93 total a priori good antennas: 3, 7, 10, 15, 16, 19, 29, 38, 40, 42, 45, 53, 54, 55, 71, 72, 81, 85, 86, 93, 94, 101, 103, 107, 109, 111, 112, 121, 122, 123, 124, 127, 136, 140, 144, 145, 147, 151, 158, 161, 162, 164, 165, 166, 170, 173, 182, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"31 / 105 total a priori bad antennas: 8, 22, 43, 46, 48, 61, 62, 73, 74, 89, 90, 115, 120, 125, 126, 132, 133, 137, 139, 143, 179, 220, 228, 229, 237, 238, 239, 241, 245, 324, 325"
